card_number,card_type,issue_date,expiry_date,balance,card_status
12111,commute,2024-08-01,2026-12-04,230.00,active
13222,commute,2021-09-09,2024-12-21,210.00,active
14432,commute,2021-09-09,2024-12-21,213.00,active
43212,commute,2022-09-09,2024-12-21,20.00,active
23122,commute,2021-09-09,2025-12-21,450.00,active
32341,commute,2024-09-09,2026-12-21,210.00,active
54211,student_pass,2023-09-09,2024-12-21,110.00,active
43111,commute,2024-09-09,2026-12-21,73.00,active
12112,commute,2024-09-09,2026-12-21,310.00,active
54213,commute,2023-09-09,2025-10-21,20.00,active
65122,student_pass,2023-10-09,2025-10-21,123.00,active
91211,commute,2021-09-09,2024-12-21,210.00,active
42111,commute,2024-09-09,2026-12-21,210.00,active
91235,student_pass,2023-09-09,2024-07-21,0.00,expired
90112,commute,2023-09-19,2026-12-21,143.00,active
21111,commute,2024-09-09,2027-12-21,490.00,active
65111,commute,2024-11-09,2027-12-20,143.00,active
76111,commute,2024-10-09,2026-12-12,422.00,active
37888,student_pass,2023-12-09,2025-09-21,90.00,active
56611,commute,2023-10-09,2029-12-21,1222.00,active
41123,commute,2024-09-09,2027-12-21,342.00,active
90150,student_pass,2023-12-09,2025-12-21,1234.00,active
54214,commute,2024-10-09,2026-12-20,12.00,active
56299,student_pass,2024-12-21,2026-12-21,321.00,active
36733,commute,2022-09-09,2023-12-21,0.00,expired
98987,commute,2022-09-09,2024-10-21,234.00,active
41233,commute,2022-09-09,2024-10-21,20.00,active
65418,student_pass,2023-10-09,2025-12-21,329.00,active
45278,commute,2023-09-09,2025-12-21,332.00,active
52555,commute,2022-09-09,2024-12-21,10.00,active
